,feature importance,biomolecule
0,0.0006908683831760759,AC 2:0_RT_1.273
1,0.005415015690654807,AC 3:0_RT_1.408
2,0.0007930442581882288,AC 2:0_RT_1.413
3,0.014716261751973957,AC 5:0_RT_2.381
4,0.004517843885196833,AC 6:0_RT_4.344
5,0.0035528486672959715,AC 8:0_RT_5.886
6,0.0016344946974185177,AC 8:0_RT_5.961
7,0.004287791737204104,AC 10:0_RT_6.936
8,0.0013819525924204904,AC 12:0_RT_7.955
9,0.0015313412592554022,AC 13:0_RT_8.306
10,0.002703164513324377,AC 14:1_RT_8.361
11,0.0007439077474076267,AC 14:1_RT_8.51
12,0.0013379043758301428,AC 14:0_RT_9.398
13,0.005152905322983236,S1P d18:2_RT_9.609
14,0.002882640352436161,LysoPC 14:0_RT_9.772
15,0.0005990415335463259,AC 16:1_RT_9.841
16,0.000967037012161335,AC 16:1_RT_9.93
17,0.0009046153846153847,LysoPC 14:0_RT_9.962
18,0.0010927428290251689,LysoPC 14:0_RT_10.102
19,0.001211454707807237,LysoPC 18:3_RT_10.294
20,0.001120287278645813,LysoPI 20:4_RT_10.313
21,0.004251524990072258,LysoPC 20:5_RT_10.322
22,0.0004660457582402102,LysoPC 18:3_RT_10.433
23,0.0,AC 18:2_RT_10.451
24,0.001693186981842165,LysoPI 18:2_RT_10.48
25,0.0010762299773572131,LysoPI 20:4_RT_10.506
26,0.0004099236377908562,LysoPC 16:1_RT_10.555
27,0.007356315383372263,S1P d18:1_RT_10.744
28,0.0012076677316293933,LysoPC 15:0_RT_10.804
29,0.0011931576586241201,LysoPC 18:2_RT_10.861
30,0.001476425098474572,LysoPC 22:6_RT_10.886
31,0.0008665951512550952,AC 16:0_RT_10.888
32,0.0008562283811135266,LysoPC 20:4_RT_10.912
33,0.0001480263157894737,LysoPC 15:0_RT_10.944
34,0.0009401954574284461,LysoPC 22:6_RT_11.011
35,0.0,AC 16:0_RT_11.031
36,0.00022153846153846139,LysoPC 18:2_RT_11.045
37,0.0017530213684985446,LysoPI 16:0_RT_11.045
38,0.0006482382989560913,LysoPC 20:4_RT_11.056
39,0.0005642633228840126,LysoPE 18:2_RT_11.11
40,0.00011627906976744198,LysoPC 22:6_RT_11.159
41,0.0025175061235603647,LysoPE 22:6_RT_11.162
42,0.002152657181725643,LysoPE 20:4_RT_11.171
43,0.0008036840803199608,LysoPC 18:2_RT_11.185
44,0.0001741935483870967,LysoPC 20:4_RT_11.201
45,0.006942218435677649,S1P d18:0_RT_11.215
46,0.0009427292413828528,LysoPC 22:5_RT_11.35
47,0.0018981176403174514,LysoPE 22:6_RT_11.39
48,0.0,LysoPC 17:1_RT_11.401
49,0.0014721924680527437,LysoPE 18:2_RT_11.418
50,0.0,LysoPE 20:4_RT_11.434
51,0.001616930155742799,LysoPI 18:1_RT_11.441
52,0.0004347798676053378,LysoPC 16:0_RT_11.461
53,0.0022777702888188023,AC 18:1_RT_11.494
54,0.00042721518987341776,LysoPC 20:3_RT_11.543
55,0.0010622701195440699,LysoPC 18:2_RT_11.623
56,0.0014253261157481745,LysoPC 22:5_RT_11.654
57,0.0002727272727272729,LysoPC 20:3_RT_11.724
58,0.0007871720116618076,LysoPE 16:0_RT_11.73
59,0.00048498309615535806,LysoPC 16:0_RT_11.845
60,0.0006557493883629401,LysoPC 20:3_RT_11.872
61,0.0009153909475948332,LysoPE 22:5_RT_11.89
62,0.0007431874483897605,LysoPC 18:1_RT_11.924
63,0.0007188498402555909,LysoPE 16:0_RT_11.938
64,0.0012148600814799978,LysoPC 22:5_RT_12.087
65,0.0009226941008436371,LysoPE 16:0_RT_12.1
66,0.0,LysoPE 20:3_RT_12.114
67,0.001032761313621029,LysoPC 18:1_RT_12.156
68,0.0015946638395617984,LysoPC 20:3_RT_12.285
69,0.0,LysoPC 22:4_RT_12.289
70,0.0,LysoPC 18:1_RT_12.292
71,0.0007533583941026733,LysoPE 22:5_RT_12.334
72,0.0006509770935656989,LysoPE 18:1_RT_12.552
73,0.0018076919851627812,LysoPC 18:1_RT_12.593
74,0.00015410958904109586,LysoPC 22:4_RT_12.605
75,0.001125227155635307,LysoPC 17:0_RT_12.788
76,0.0005724381625441698,LysoPC 20:2_RT_12.854
77,0.00047669491525423736,LysoPE 18:1_RT_12.854
78,0.0034291224376752274,AC 18:0_RT_12.884
79,0.0002690404224931078,CerP d18:0_3:0_RT_12.983
80,0.00251518233673433,LysoPC 18:0_RT_13.346
81,0.0035063732952069016,SM d31:1_RT_18.595
82,0.0,SM d33:2_RT_19.085
83,0.0005202655792912201,SM d32:1_RT_19.275
84,0.0006880775640054538,PC 36:6_RT_19.422
85,0.0,PC 32:3_RT_19.484
86,0.0014873358176584104,PC 34:5_RT_19.538
87,0.0013990797856203866,PC 28:0_RT_19.548
88,0.0013576096310980018,PI 16:1_16:0_RT_19.774
89,0.0015438476139495766,PC 34:4_RT_19.819
90,0.00029003021148036256,PC 36:6_RT_19.83
91,0.000770907317955481,PC 14:0_16:1_RT_19.875
92,0.00824095186288107,SM d32:0_RT_20.014
93,0.007675203873202616,SM d33:1_RT_20.062
94,0.0010604862674369927,PI 38:6_RT_20.119
95,0.0008347427357694745,PC 40:9_RT_20.185
96,0.00248679781735207,PC 32:2_RT_20.199
97,0.0,SM d36:3_RT_20.199
98,0.001382850263844666,PI 16:0_18:2_RT_20.206
99,0.00040268456375838914,SM d33:1_RT_20.207
100,0.0004530201342281879,PI 36:4_RT_20.232
101,0.0,PC 33:3_RT_20.236
102,0.002281716350687429,PC 36:6_RT_20.245
103,0.0,PC 18:2_20:5_RT_20.256
104,0.0003204747774480713,PC 38:8_RT_20.259
105,0.0018165681817263347,PC 18:3_18:2_RT_20.263
106,0.0012801770490781302,PC 29:0_RT_20.286
107,0.0007377567260325883,PC 33:3_RT_20.321
108,0.0006617122167917762,SM d36:3_RT_20.353
109,0.00015329341317365275,PC 32:2_RT_20.361
110,0.0015085791018816705,PC 34:5_RT_20.361
111,0.004802605327508963,PC 36:7_RT_20.368
112,0.0009073362856135132,PC 14:0_20:4_RT_20.369
113,0.0003289165842646317,PI 18:2_18:1_RT_20.436
114,0.0010907751805426325,PI 38:5_RT_20.439
115,0.001766856658209935,PC 38:7_RT_20.506
116,0.0009751410205534006,SM d35:2_RT_20.586
117,0.0015472604643805721,PC 15:0_16:1_RT_20.626
118,0.0016545354467337838,PC 38:8_RT_20.644
119,0.0005285143321094762,PC 16:1_20:4_RT_20.646
120,0.000549520766773163,PC 16:1_18:2_RT_20.653
121,0.0009756335654613554,PC 36:6_RT_20.655
122,0.0014754972440559463,PI 36:3_RT_20.661
123,0.0015975043716364473,PI 38:5_RT_20.722
124,0.00031883887924156367,PC 34:4_RT_20.736
125,0.00227329092528875,SM d33:0_RT_20.755
126,0.0005936395759717312,PC 35:4_RT_20.797
127,0.000648502994011976,PC 42:10_RT_20.814
128,0.0002967032967032968,PC 36:6_RT_20.819
129,0.0010610703108849997,PI 17:0_18:2_RT_20.852
130,0.0001969230769230769,PE 18:1_18:1_RT_20.883
131,0.0,PC 37:6_RT_20.919
132,0.0021422415270519173,PC 40:8_RT_20.931
133,0.0009008709901718805,SM d34:1_RT_20.942
134,0.0,PC 34:3_RT_20.951
135,0.0,PC 16:0_20:5_RT_20.978
136,0.0013928811559476791,PC 14:0_16:0_RT_21.017
137,0.0008261993055903706,PI 16:0_18:1_RT_21.06
138,0.0003696942035600186,PC 15:0_18:2_RT_21.062
139,0.006379830386623451,PC 15:0_20:4_RT_21.064
140,0.0021592781977653043,PC 37:7_RT_21.069
141,0.0012724326205062176,PC 18:2_18:2_RT_21.077
142,0.0008397776976334861,PC 18:2_20:4_RT_21.079
143,0.0023124772053625623,PC 44:9_RT_21.117
144,0.0006454203217615812,PC 34:3_RT_21.162
145,0.0017353503872137152,PC 39:7_RT_21.174
146,0.002149399165967773,PC 42:9_RT_21.184
147,0.0007745750734555731,DG 12:0_18:3_RT_21.189
148,0.0,PC 40:9_RT_21.201
149,0.0014904504599050987,DG 12:0_14:0_RT_21.212
150,0.0028762958208268206,PC 40:7_RT_21.242
151,0.002532071175147262,PC 37:5_RT_21.269
152,0.0009329367942168106,SM d36:2_RT_21.272
153,0.006063776582648141,PE 16:0_18:3_RT_21.276
154,0.0011459147550925842,PE 16:0_20:5_RT_21.288
155,0.0007176079734219269,PC 17:1_18:2_RT_21.3
156,0.000797301346427087,PC 32:1_RT_21.303
157,0.00041662468771596196,PC 34:4_RT_21.303
158,0.00047230320699708455,SM d35:1_RT_21.346
159,0.0034638551733603344,PI 40:6_RT_21.364
160,0.0025621451215302616,PC 35:6_RT_21.377
161,0.0,PC 39:5_RT_21.387
162,0.00355983678230906,Plasmanyl-PC O-36:5_RT_21.406
163,0.0031005781649431387,PC 33:4_RT_21.412
164,0.00042208987185063764,PC 38:7_RT_21.412
165,0.00040677966101694915,PC 36:4_RT_21.431
166,0.00410765456693567,PC 31:0_RT_21.444
167,0.0015566733974438402,PE 38:6_RT_21.449
168,0.0003159212495380266,SM d34:0_RT_21.47
169,0.0007871720116618076,PI 18:2_18:0_RT_21.475
170,0.005442402990292564,PC 20:4_20:3_RT_21.475
171,0.003979377173655827,PI 18:0_20:4_RT_21.484
172,0.0021934313621834044,SM d38:3_RT_21.495
173,0.005881208039942591,PC 35:6_RT_21.502
174,0.0012947875384838503,PC 35:3_RT_21.517
175,0.004000967953538263,PS 16:0_18:1_RT_21.533
176,0.0013334595095749774,PC 40:9_RT_21.581
177,0.0,PC O-36:5_RT_21.616
178,0.00091557386121045,PC 37:5_RT_21.632
179,0.00347005960942776,SM d35:1_RT_21.643
180,0.00015189873417721536,PC 15:0_16:0_RT_21.664
181,0.009139093063743388,PC 16:0_20:4_RT_21.713
182,0.0019246885145860048,PC 16:0_18:2_RT_21.735
183,0.0011762995972260343,Plasmanyl-PC O-36:5_RT_21.774
184,0.00038444163298660493,PC 18:1_22:6_RT_21.797
185,0.0014913179464240112,SM d36:1_RT_21.82
186,0.0003261854424645122,PC 38:7_RT_21.824
187,0.0018079603446056994,Plasmanyl-PC O-30:0_RT_21.834
188,0.0007077843094521443,PC O-35:3_RT_21.843
189,0.0029519466165615405,PI 18:0_20:3_RT_21.881
190,0.0044949676788034265,PC 35:3_RT_21.905
191,0.001173504573534108,PC 35:6_RT_21.906
192,0.0019183875811610838,PC 38:5_RT_21.91
193,5.986696230598684e-05,Plasmanyl-PC O-38:6_RT_21.914
194,0.00029813664596273296,PC 42:8_RT_21.917
195,0.0029269067719475163,PS 36:2_RT_21.941
196,0.0006312149389072455,PC 18:2_18:1_RT_21.944
197,0.0,PC 40:7_RT_21.948
198,0.0012451252003431925,PC 33:1_RT_21.951
199,0.00567797433344382,SM d37:2_RT_21.974
200,0.000870967741935484,Plasmenyl-PE P-16:0_20:5_RT_21.988
201,0.002024337796546237,PC 39:6_RT_21.993
202,0.0008789163998457746,DG 12:0_18:2_RT_21.999
203,0.0033254199680088957,PI 16:0_18:0_RT_22.017
204,0.0008463949843260188,PC 17:0_18:3_RT_22.021
205,0.001151739549074245,Plasmenyl-PC P-16:0_16:1_RT_22.022
206,0.0025929136987529176,PC 36:5_RT_22.026
207,0.001047438154227875,PE 16:0_20:4_RT_22.05
208,0.0,PC 42:8_RT_22.056
209,0.010866613233784761,PS 18:2_18:2_RT_22.062
210,0.003891336337493856,PE 16:0_18:2_RT_22.063
