,feature importance,biomolecule
0,0.006276772329366207,"1,2-Propanediol, 2TMS derivative RT5.872253"
1,0.0007145025617515953,"Propanoic acid, 2-(methoxyimino)- RT6.55182"
2,0.00811495426608798,"2-Hydroxybutyric acid, 2TMS derivative RT7.639387"
3,0.0037388579435149436,Methylphenol RT8.024749
4,0.003752025684241164,L-Leucine RT8.057321
5,0.006001914105235471,"3-Hydroxybutyric acid, 2TMS derivative RT8.103591"
6,0.016747707376978,2-hydroxy-3methylbutyric acid 2TMS RT8.150248
7,0.003933020454626327,C4H9NO2 RT8.262165_2-Aminobutyric acid 2TMS
8,0.03322626675002992,3-hydroxyisovaleric acid 2TMS RT8.767878
9,0.009610028714256596,2-Ketoisocaproic acid mo-tms RT8.802217
10,0.009677087318427374,"L-Valine, 2TMS derivative RT8.840117"
11,0.008709425117180154,"L-Serine, 2TMS derivative RT9.393601"
12,0.007275274911392498,Phosphoric acid RT9.570223
13,0.014768078008598518,"Glycerol, 3TMS derivative RT9.590666"
14,0.0018025111311515548,"L-Isoleucine, 2TMS derivative RT9.853387"
15,0.0016036530174420355,"L-Proline, 2TMS derivative RT9.926992"
16,0.002559231424140146,"Glycine, 3TMS derivative RT10.031162"
17,0.0022885357973390303,Succinic acid 2TMS
18,0.006053464563420628,"Glyceric acid, 3TMS derivative RT10.30265"
19,0.009559017565669067,"2,3-Dihydroxybutanoic acid, tris(trimethylsilyl)- RT10.455827"
20,0.0027322309940232283,"L-Threonine, 3TMS derivative RT10.986218"
21,0.004913230308369866,Sugar RT11.180625
22,0.00506559868051351,"Aspartic acid, 3TMS derivative RT11.991212"
23,0.005313665473394607,"Malic acid, 3TMS derivative RT12.182088"
24,0.007873393894900901,Sugar RT12.311732
25,0.016265715612876347,Sugar RT12.405521
26,0.0013649386854469414,Salicylic acid
27,0.004905787736457839,"L-Methionine, 2TMS derivative RT12.546672"
28,0.003233658907258247,L-Pyroglutamic acid RT12.572016
29,0.0035622433227646593,Iminodiacetic acid RT12.666785
30,0.025008274546388057,"Creatinine, 3TMS Derivative RT12.941566"
31,0.00582124584627627,"L-Threonic acid, tris(trimethylsilyl) ether, trimethylsilyl ester RT12.967171"
32,0.010849121965364007,"L-Glutamic acid, 3TMS derivative RT13.628483"
33,0.01112441859400047,"Phenylalanine, 2TMS derivative RT13.727813"
34,0.019912104662836768,"Hydroxybenzeneacetic acid, 2TMS derivative RT13.857543"
35,0.021610733987477825,Sugar RT14.499155
36,0.00456765878237429,"Indol-5-ol, 2TMS derivative RT14.572634"
37,0.010722511984304031,Sugar RT14.65062
38,0.039310254380532254,"Quinolinic acid, bis(trimethylsilyl) ester RT14.717184"
39,0.020466314737685332,Sugar RT14.882448
40,0.004012814805997275,"L-Glutamine, 3TMS derivative RT15.188844"
41,0.017224124180180794,"Phosphorylethanolamine, 4TMS derivative RT15.271004"
42,0.0014046968918146846,Sugar RT15.498817
43,0.002592003756672595,"Hypoxanthine, 2TMS RT15.51998 "
44,0.016623406736161177,"Citric acid, 4TMS derivative RT15.616492"
45,0.004517146235763066,Sugar RT15.948677
46,0.005552634551829201,Sugar RT16.115755
47,0.00614467384476037,Sugar RT16.206201
48,0.010870446050956743,Sugar RT16.252331
49,0.0027052234386145185,Sugar RT16.3187
50,0.0029134189307703133,Sugar RT16.542108
51,0.003931245562769308,"L-Lysine, N2,N6,N6-tris(trimethylsilyl)-, trimethylsilyl ester RT16.60669"
52,0.0053270882963065815,Sugar RT16.657726
53,0.0036746483922769687,"Tyrosine, 3TMS derivative RT16.755616"
54,0.0035917164585759303,Sugar RT16.902669
55,0.0038095953964806997,Sugar RT17.084061
56,0.007039396530378435,Sugar acid RT17.285215
57,0.012630913133824468,Sugar RT17.51909
58,0.00601703475315176,"Palmitic Acid, TMS derivative RT17.715581"
