,feature importance,biomolecule
0,0.002397125187822862,AC 2:0_RT_1.273
1,0.0032609878992491716,AC 3:0_RT_1.408
2,0.001723584049165444,AC 2:0_RT_1.413
3,0.0034210871297774585,AC 5:0_RT_2.381
4,0.003953403434861637,AC 6:0_RT_4.344
5,0.005447252139334943,AC 8:0_RT_5.886
6,0.00423851055532948,AC 8:0_RT_5.961
7,0.0020328839826283863,AC 10:0_RT_6.936
8,0.0019741055971166134,AC 12:0_RT_7.955
9,0.000926793266054552,AC 13:0_RT_8.306
10,0.0007327163004317588,AC 14:1_RT_8.361
11,0.0002897249408877316,AC 14:1_RT_8.51
12,0.002066701439191621,AC 14:0_RT_9.398
13,0.0016465933018600593,S1P d18:2_RT_9.609
14,0.001797201993040427,LysoPC 14:0_RT_9.772
15,0.0007725272841551911,AC 16:1_RT_9.841
16,0.001706886113250863,AC 16:1_RT_9.93
17,0.001586109034760102,LysoPC 14:0_RT_9.962
18,0.0009651758951552135,LysoPC 14:0_RT_10.102
19,0.0013480590224776274,LysoPC 18:3_RT_10.294
20,0.000907186256023465,LysoPI 20:4_RT_10.313
21,0.001826714129975705,LysoPC 20:5_RT_10.322
22,0.0007949477716919579,LysoPC 18:3_RT_10.433
23,0.0012171026124514503,AC 18:2_RT_10.451
24,0.002086048597676504,LysoPI 18:2_RT_10.48
25,0.0007686091407021639,LysoPI 20:4_RT_10.506
26,0.001994280845170038,LysoPC 16:1_RT_10.555
27,0.0007940808261578107,S1P d18:1_RT_10.744
28,0.0010580174280882058,LysoPC 15:0_RT_10.804
29,0.001813773906797163,LysoPC 18:2_RT_10.861
30,0.0006437715911400123,LysoPC 22:6_RT_10.886
31,0.00018856065367693276,AC 16:0_RT_10.888
32,0.0014823413599423393,LysoPC 20:4_RT_10.912
33,0.002182372217939934,LysoPC 15:0_RT_10.944
34,0.0005242304418047729,LysoPC 22:6_RT_11.011
35,0.0008449499269572706,AC 16:0_RT_11.031
36,0.0008964519368436135,LysoPC 18:2_RT_11.045
37,0.001139744395558349,LysoPI 16:0_RT_11.045
38,0.0013696088114692768,LysoPC 20:4_RT_11.056
39,0.00040226272784412315,LysoPE 18:2_RT_11.11
40,0.0009386130316362874,LysoPC 22:6_RT_11.159
41,0.0010721982815006077,LysoPE 22:6_RT_11.162
42,0.0007921302045482803,LysoPE 20:4_RT_11.171
43,0.0011902997722623356,LysoPC 18:2_RT_11.185
44,0.0011495216146378939,LysoPC 20:4_RT_11.201
45,0.0044477986249805024,S1P d18:0_RT_11.215
46,0.0003088803088803092,LysoPC 22:5_RT_11.35
47,0.0010922550457434176,LysoPE 22:6_RT_11.39
48,0.0009963752199311088,LysoPC 17:1_RT_11.401
49,0.000734688176548642,LysoPE 18:2_RT_11.418
50,0.0003491863956980235,LysoPE 20:4_RT_11.434
51,0.0010978420280745866,LysoPI 18:1_RT_11.441
52,0.0009096623050111419,LysoPC 16:0_RT_11.461
53,0.0005820086162803425,AC 18:1_RT_11.494
54,0.0008961851932349555,LysoPC 20:3_RT_11.543
55,0.000952012579919557,LysoPC 18:2_RT_11.623
56,0.0003771213073538655,LysoPC 22:5_RT_11.654
57,0.0008570938803496947,LysoPC 20:3_RT_11.724
58,0.0008545355778715844,LysoPE 16:0_RT_11.73
59,0.0014893771103721438,LysoPC 16:0_RT_11.845
60,0.00100184751347542,LysoPC 20:3_RT_11.872
61,0.0024904459539112113,LysoPE 22:5_RT_11.89
62,0.00028493609888958745,LysoPC 18:1_RT_11.924
63,0.0024453750582751747,LysoPE 16:0_RT_11.938
64,0.0011634890704658148,LysoPC 22:5_RT_12.087
65,0.001412485379653642,LysoPE 16:0_RT_12.1
66,0.001215990272077824,LysoPE 20:3_RT_12.114
67,0.0008371161859533957,LysoPC 18:1_RT_12.156
68,0.0024729012978706986,LysoPC 20:3_RT_12.285
69,0.001419093512116768,LysoPC 22:4_RT_12.289
70,0.0013535661907754931,LysoPC 18:1_RT_12.292
71,0.0001117396466233674,LysoPE 22:5_RT_12.334
72,0.001186019183996939,LysoPE 18:1_RT_12.552
73,0.0011532903065752643,LysoPC 18:1_RT_12.593
74,0.0,LysoPC 22:4_RT_12.605
75,0.00025141420490257694,LysoPC 17:0_RT_12.788
76,0.0005626889347819582,LysoPC 20:2_RT_12.854
77,0.0026265503681788703,LysoPE 18:1_RT_12.854
78,0.00037712130735386546,AC 18:0_RT_12.884
79,0.0001257071024512885,CerP d18:0_3:0_RT_12.983
80,0.0015238312912731519,LysoPC 18:0_RT_13.346
81,0.0015207026644312193,SM d31:1_RT_18.595
82,0.001664352827143525,SM d33:2_RT_19.085
83,0.0005660628916442867,SM d32:1_RT_19.275
84,0.0013631695292824861,PC 36:6_RT_19.422
85,0.0018939814288651503,PC 32:3_RT_19.484
