,feature importance,biomolecule
0,0.0008166479190101245,A1BG
1,0.0,A2M
2,0.0,AAAS
3,0.0,AACS
4,0.0,AAGAB
5,0.0,AAK1
6,0.0,AAMDC
7,0.0,AAMP
8,0.00021944261575597985,AANAT
9,0.0,AAR2
10,0.0,AARS1
11,0.0,AARS2
12,0.0,AARSD1
13,0.0,AASDH
14,0.0,AASDHPPT
15,0.0,AASS
16,0.0,AATF
17,0.0003480698602649825,AATK
18,0.0,ABAT
19,0.0,ABCA1
20,0.0,ABCA10
21,0.00045484157536274805,ABCA13
22,0.0,ABCA2
23,0.0,ABCA3
24,0.0,ABCA5
25,0.0,ABCA6
26,0.0,ABCA7
27,0.0,ABCA9
28,0.0,ABCB1
29,0.00022335970218706377,ABCB10
30,0.0,ABCB11
31,0.0,ABCB4
32,0.0,ABCB6
33,0.0,ABCB7
34,0.0,ABCB8
35,0.0,ABCB9
36,0.0,ABCC1
37,0.0,ABCC10
38,0.0,ABCC11
39,0.0,ABCC2
40,0.0,ABCC3
41,0.0,ABCC4
42,0.0,ABCC5
43,0.0,ABCC6
44,0.0,ABCC9
45,0.0,ABCD1
46,0.0015965238918498666,ABCD2
47,0.00012139388746072558,ABCD3
48,0.0,ABCD4
49,0.0,ABCE1
50,0.0,ABCF1
51,0.0,ABCF2
52,0.0,ABCF2-H2BE1
53,0.0,ABCF3
54,0.0,ABCG1
55,0.0,ABCG2
56,0.0,ABHD10
57,0.0,ABHD11
58,0.0,ABHD12
59,0.0,ABHD12B
60,0.0,ABHD13
61,0.0,ABHD14A
62,0.0,ABHD14B
63,0.0,ABHD15
64,0.0,ABHD16A
65,0.0,ABHD17A
66,0.0,ABHD17B
67,0.0,ABHD17C
68,0.0,ABHD18
69,0.0,ABHD2
70,0.0,ABHD3
71,0.0,ABHD4
72,0.0,ABHD5
73,0.0,ABHD6
74,0.0,ABHD8
75,0.0,ABI1
76,0.0,ABI2
77,0.00038628188358404175,ABI3
78,0.0,ABITRAM
79,0.0,ABL1
80,0.0,ABL2
81,0.002960932981519964,ABLIM1
82,0.0,ABLIM3
83,0.0,ABO
84,0.0,ABR
85,0.0,ABRACL
86,0.0,ABRAXAS1
87,0.0,ABRAXAS2
88,0.0,ABT1
89,0.0,ABTB1
90,0.0,ABTB2
91,0.0,ACAA1
92,0.0,ACAA2
93,0.0,ACACA
94,0.0003245436105476673,ACACB
95,0.0,ACAD10
96,0.0,ACAD11
97,0.0,ACAD8
98,0.0,ACAD9
99,0.0,ACADM
100,0.0,ACADS
101,0.001192415555889678,ACADSB
102,0.0,ACADVL
103,0.0,ACAP1
104,0.0,ACAP2
105,0.0,ACAP3
106,0.0,ACAT1
107,0.0,ACAT2
108,0.0,ACBD3
109,0.0,ACBD4
110,0.0,ACBD5
111,0.0,ACBD6
112,0.0,ACBD7
113,0.0,ACCS
114,0.0,ACD
115,0.0,ACE
116,0.0,ACER2
117,0.0011616805491468337,ACER3
118,0.0,ACIN1
119,0.0,ACKR3
120,0.0,ACLY
121,0.0,ACO1
122,0.0,ACO2
123,0.0010424269607943073,ACOT1
124,0.00023049365154628295,ACOT11
125,0.0,ACOT13
126,0.0,ACOT2
127,0.0,ACOT4
128,0.0,ACOT7
129,0.0,ACOT8
130,0.0,ACOT9
131,0.0,ACOX1
132,0.0,ACOX2
133,0.0,ACOX3
134,0.0,ACOXL
135,0.00042792905738595505,ACP1
136,0.0,ACP2
137,0.0,ACP3
138,0.0,ACP5
139,0.0,ACP6
140,0.0,ACRBP
141,0.0,ACSBG1
142,0.0,ACSF2
143,0.0,ACSF3
144,0.0,ACSL1
145,0.0002625097225823178,ACSL3
146,0.0,ACSL4
147,0.0,ACSL5
148,0.0,ACSL6
149,0.0,ACSM1
150,0.0,ACSM3
151,0.0,ACSS1
152,0.0,ACSS2
153,0.0,ACSS3
154,0.0,ACTA2
155,0.0,ACTB
156,0.0,ACTG1
157,0.0,ACTL10
158,0.0,ACTL6A
159,0.0,ACTN1
160,0.0,ACTN4
161,0.0,ACTR10
162,0.0,ACTR1A
163,0.0,ACTR1B
164,0.0,ACTR2
165,0.0,ACTR3
166,0.0,ACTR3B
167,0.0,ACTR3C
168,0.000740865935745569,ACTR5
169,0.0,ACTR6
170,0.0,ACTR8
171,0.0,ACVR1
172,0.0,ACVR1B
173,0.0,ACVR1C
174,0.0021108812188469863,ACVR2A
175,0.0,ACVR2B
176,0.0,ACVRL1
177,0.0,ACY1
178,0.0,ACYP1
179,0.0005977418640690725,ACYP2
180,0.0,ADA
181,0.0002539242843951985,ADA2
182,0.0,ADAL
183,0.0,ADAM10
184,0.0,ADAM12
185,0.0,ADAM15
186,0.0,ADAM17
187,0.0,ADAM19
188,0.0,ADAM22
189,0.0,ADAM23
190,0.0008976927071741224,ADAM28
191,0.0,ADAM8
